title,url,venue,database_searched,field,year,total_search_hits,industry_1st_author,micro_view,macro_view
Staggered Rollout Designs Enable Causal Inference Under Interference Without Network Knowledge,https://proceedings.neurips.cc/paper_files/paper/2022/file/3103b25853719847502559bf67eb4037-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2022,,1,1,0
Experimentation for Engineers: From A/B testing to Bayesian optimization,https://ieeexplore.ieee.org/document/10280521,Book,Google: site:neuirps.cc,Computer Science,2023,442,1,1,0
Statistical Inference and A/B Testing for First-Price Pacing Equilibria,https://proceedings.mlr.press/v202/liao23a/liao23a.pdf,ICML,Google: site:neuirps.cc,Computer Science,2023,,0,1,0
Generalized Objectives in Adaptive Experiments: The Frontier between Regret and Speed,https://openreview.net/pdf?id=dfUF5EbJUj,NeurIPS,Google: site:neuirps.cc,Computer Science,2023,,0,0,1
Non-stationary Experimental Design under Linear Trends,https://proceedings.neurips.cc/paper_files/paper/2023/file/65e837e76a5308df3d5544aab6196e21-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2023,,0,1,0
Optimized Covariance Design for AB Test on Social Network under Interference,https://proceedings.neurips.cc/paper_files/paper/2023/file/760b5def8dcb1156aac454e9c0f5f406-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2023,,0,1,0
On Universally Optimal Algorithms for A/B Testing,https://proceedings.mlr.press/v235/wang24c.html,ICML,Google: site:neuirps.cc,Computer Science,2024,,1,1,0
Adaptive Experimentation When You Can’t Experiment,https://proceedings.neurips.cc/paper_files/paper/2024/file/dcbc5a5705565452057a8df872595d5c-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2024,,0,1,0
Efficient Experimentation for Estimation of Continuous and Discrete Conditional Treatment Effects,https://openreview.net/pdf?id=p0JzKTdRXI,NeurIPS,Google: site:neuirps.cc,Computer Science,2024,,1,1,0
Sample Complexity Reduction via Policy Difference Estimation in Tabular Reinforcement Learning,https://proceedings.neurips.cc/paper_files/paper/2024/file/28795419a644f41ede3fa058b13fc622-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2024,,0,1,0
Towards Efficient and Optimal Covariance-Adaptive Algorithms for Combinatorial Semi-Bandits,https://proceedings.neurips.cc/paper_files/paper/2024/file/3640a1997a4c9571cea9db2c82e1fc35-Paper-Conference.pdf,NeurIPS,Google: site:neuirps.cc,Computer Science,2024,,1,1,0
Demystifying the Paradox of Importance Sampling with an Estimated History-Dependent Behavior Policy in Off-Policy Evaluation,https://openreview.net/pdf?id=BrLuZ0HOnb,ICML,Google: site:neuirps.cc,Computer Science,2025,,0,1,0
Optimal Testing in the Experiment-rich Regime,https://proceedings.mlr.press/v89/schmit19a/schmit19a.pdf,AISTATS,Google: site:aistats,Computer Science,2019,25,0,,1
Controlled experiments for decision-making in e-Commerce search,https://ieeexplore.ieee.org/document/7363863,IEEE,IEEE,Computer Science,2015,,1,1,0
Online Experimentation Diagnosis and Troubleshooting Beyond AA Validation,https://ieeexplore.ieee.org/document/7796936,IEEE,IEEE,Computer Science,2016,,1,1,0
Pitfalls of long-term online controlled experiments,https://ieeexplore.ieee.org/document/7840744,IEEE,IEEE,Computer Science,2016,,1,1,0
Faster online experimentation by eliminating traditional A/A validation,https://ieeexplore.ieee.org/document/8258098,IEEE,IEEE,Computer Science,2017,,1,1,0
A Tool for Online Experiment-Driven Adaptation,https://ieeexplore.ieee.org/document/8599539,IEEE,IEEE,Computer Science,2018,,0,1,0
Estimation Errors in Network A/B Testing Due to Sample Variance and Model Misspecification,https://ieeexplore.ieee.org/document/8609643,IEEE,IEEE,Computer Science,2018,,0,1,0
Continuous Experimentation and A/B Testing: A Mapping Study,https://ieeexplore.ieee.org/document/8452106,IEEE,IEEE,Computer Science,2018,,0,1,0
Designing and Analyzing A/B Tests in an Online Marketplace,https://ieeexplore.ieee.org/document/8637527,IEEE,IEEE,Computer Science,2018,,1,1,0
Online Controlled Experimentation at Scale: An Empirical Survey on the Current State of A/B Testing,https://ieeexplore.ieee.org/document/8498188,IEEE,IEEE,Computer Science,2018,,0,1,0
Spot the Difference: Your Bucket is Leaking : A Novel Methodology to Expose A/B Testing Effortlessly,https://ieeexplore.ieee.org/document/8433122,IEEE,IEEE,Computer Science,2018,,0,1,0
The Anatomy of a Large-Scale Experimentation Platform,https://ieeexplore.ieee.org/document/8417111,IEEE,IEEE,Computer Science,2018,,1,0,1
Enterprise-Level Controlled Experiments at Scale: Challenges and Solutions,https://ieeexplore.ieee.org/document/8906760,IEEE,IEEE,Computer Science,2019,,1,1,0
Scalable Data Reporting Platform for A/B Tests,https://ieeexplore.ieee.org/document/8819471,IEEE,IEEE,Computer Science,2019,,1,0,1
Three Key Checklists and Remedies for Trustworthy Analysis of Online Controlled Experiments at Scale,https://ieeexplore.ieee.org/document/8804459,IEEE,IEEE,Computer Science,2019,,0,1,0
It takes a Flywheel to Fly: Kickstarting and Growing the A/B testing Momentum at Scale,https://ieeexplore.ieee.org/document/9582567,IEEE,IEEE,Computer Science,2021,,1,1,0
Validation of A/B tests using Machine Data Learning Techniques,https://ieeexplore.ieee.org/document/9708063,IEEE,IEEE,Computer Science,2021,,0,1,0
Challenges in Applying Continuous Experimentation: A Practitioners' Perspective,https://ieeexplore.ieee.org/document/9793934,IEEE,IEEE,Computer Science,2022,,0,0,1
Optimizing Experimentation Time in A/B Testing: An Analysis of Two-Part Tests and Upper Bounding Techniques,https://ieeexplore.ieee.org/document/10263054,IEEE,IEEE,Computer Science,2023,,1,1,0
A/B Integrations: 7 Lessons Learned from Enabling A/B testing as a Product Feature,https://ieeexplore.ieee.org/document/10172605,IEEE,IEEE,Computer Science,2023,,1,1,0
Optimizing Experimentation Time in A/B Testing: An Analysis of Two-Part Tests and Upper Bounding Techniques,https://ieeexplore.ieee.org/document/10263054,IEEE,IEEE,Computer Science,2023,,0,1,0
Bayesian A/B Testing with Covariates,https://ieeexplore.ieee.org/document/10415834,IEEE,IEEE,Computer Science,2023,,1,1,0
A/B Testing and Audience Creation for Effective Digital Marketing: Evidences from Facebook Analytics,https://ieeexplore.ieee.org/document/10112086,IEEE,IEEE,Computer Science,2023,,0,1,0
Cost-Effective A/B Testing: Leveraging Go and Python for Efficient Experimentation in Hermes Testing Platform,https://ieeexplore.ieee.org/document/10543437,IEEE,IEEE,Computer Science,2024,265,0,1,0
A/B Testing-Based Decision-Making for Recommendation Systems,https://ieeexplore.ieee.org/document/10990099,IEEE,IEEE,Computer Science,2024,,0,1,0
Automating Pipelines of A/B Tests with Population Split Using Self-Adaptation and Machine Learning,https://ieeexplore.ieee.org/document/10556384,IEEE,IEEE,Computer Science,2024,,0,1,0
Improvements to sequential approaches in A/B testing,https://ieeexplore.ieee.org/document/11139233,IEEE,IEEE,Computer Science,2025,,0,1,0
Martingale Stopping Rule Application in Bayesian A/B Testing With Batch Data,https://ieeexplore.ieee.org/document/11028057,IEEE,IEEE,Computer Science,2025,,0,1,0
Relative Uplift in Online Experimentation,https://ieeexplore.ieee.org/document/11019181,IEEE,IEEE,Computer Science,2025,,0,1,0
Understanding the Determinants of Firms’ Usage of A/B Testing: A Technology–Organization– Environment Framework,https://ieeexplore.ieee.org/document/10844058,IEEE,IEEE,Computer Science,2025,,0,0,1
Sequential Testing in Product Development,https://pubsonline.informs.org/doi/10.1287/mnsc.47.2.308.9838,Management Science,INFORMS,Operations Research,2001,,0,0,1
The Mixed Effects of Inconsistency on Experimentation in Organizations,https://pubsonline.informs.org/doi/10.1287/orsc.1040.0076,Organization Science,INFORMS,Organizational Behavior,2004,,0,1,0
Research Note—On Managerially Efficient Experimental Designs,https://pubsonline.informs.org/doi/10.1287/mksc.1060.0244,Management Science,INFORMS,Marketing,2007,,0,1,0
Information Technology and Organizational Learning: An Investigation of Exploration and Exploitation Processes,https://pubsonline.informs.org/doi/10.1287/orsc.1070.0286,Organization Science,INFORMS,Organizational Behavior,2007,,0,1,0
Near-Term Liability of Exploitation: Exploration and Exploitation in Multistage Problems,https://pubsonline.informs.org/doi/10.1287/orsc.1080.0376,Organization Science,INFORMS,Organizational Behavior,2008,,0,1,0
The Knowledge-Gradient Policy for Correlated Normal Beliefs,https://pubsonline.informs.org/doi/10.1287/ijoc.1080.0314,INFORMS Journal on Computing,INFORMS,Operations Research,2009,,0,0,1
The Knowledge Gradient Algorithm for a General Class of Online Learning Problems,https://pubsonline.informs.org/doi/10.1287/opre.1110.0999,Operations Research,INFORMS,Operations Research,2012,,0,1,0
Complexity and Approximation Results for the Balance Optimization Subset Selection Model for Causal Inference in Observational Studies,https://pubsonline.informs.org/doi/10.1287/ijoc.2013.0583,INFORMS Journal on Computing,INFORMS,Operations Research,2014,,0,1,0
Personalization and Recommender Systems,https://pubsonline.informs.org/doi/10.1287/educ.1080.0044,INFORMS TutORials in Operations Research,INFORMS,Operations Research,2014,,0,1,0
Experimental Designs and Estimation for Online Display Advertising Attribution in Marketplaces,https://pubsonline.informs.org/doi/10.1287/mksc.2016.0982,Marketing Science,INFORMS,Marketing,2016,,0,1,0
Reinforcement Learning in Robust Markov Decision Processes,https://pubsonline.informs.org/doi/10.1287/moor.2016.0779,Mathematics of Operations Research,INFORMS,Operations Research,2016,,0,1,0
Customer Acquisition via Display Advertising Using Multi-Armed Bandit Experiments,https://pubsonline.informs.org/doi/10.1287/mksc.2016.1023,Marketing Science,INFORMS,Marketing,2017,,0,1,0
OM Forum—Causal Inference Models in Operations Management,https://pubsonline.informs.org/doi/10.1287/msom.2017.0659,MSOM,INFORMS,Operations Research,2017,,0,1,0
Identifying Exceptional Responders in Randomized Trials: An Optimization Approach,https://pubsonline.informs.org/doi/10.1287/ijoo.2018.0006,INFORMS journal on optimization,INFORMS,Operations Research,2019,15,0,1,0
Optimal Prescriptive Trees,https://pubsonline.informs.org/doi/10.1287/ijoo.2018.0005,INFORMS journal on optimization,INFORMS,Operations Research,2019,,0,1,0
A Comparison of Approaches to Advertising Measurement: Evidence from Big Field Experiments at Facebook,https://pubsonline.informs.org/doi/10.1287/mksc.2018.1135,Marketing Science,INFORMS,Marketing,2019,,0,1,0
Test & Roll: Profit-Maximizing A/B Tests,https://pubsonline.informs.org/doi/10.1287/mksc.2019.1194,Marketing Science,INFORMS,Marketing,2019,,0,0,1
Covariate-Adaptive Optimization in Online Clinical Trials,https://pubsonline.informs.org/doi/10.1287/opre.2018.1818,Operations Research,INFORMS,Operations Research,2019,,0,1,0
Online Decision Making with High-Dimensional Covariates,https://pubsonline.informs.org/doi/10.1287/opre.2019.1902,Operations Research,INFORMS,Operations Research,2019,,0,1,0
Optimal Exploration–Exploitation in a Multi-armed Bandit Problem with Non-stationary Rewards),https://pubsonline.informs.org/doi/10.1287/stsy.2019.0033,Stochastic systems,INFORMS,Operations Research,2019,,0,1,0
Beyond Overall Treatment Effects: Leveraging Covariates in Randomized Experiments Guided by Causal Structure,https://pubsonline.informs.org/doi/10.1287/isre.2020.0938,Information Systems Research (ISR),INFORMS,Information Systems,2020,124,0,1,0
Mostly Exploration-Free Algorithms for Contextual Bandits,https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3605,Management Science,INFORMS,Operations Research,2020,,0,1,0
Near-Optimal A-B Testing,https://pubsonline.informs.org/doi/10.1287/mnsc.2019.3424,Management Science,INFORMS,Operations Research,2020,,0,1,0
Approximation Algorithms for D-optimal Design,https://pubsonline.informs.org/doi/10.1287/moor.2019.1041,Mathematics of Operations Research,INFORMS,Operations Research,2020,,0,1,0
Simple Bayesian Algorithms for Best-Arm Identification,https://pubsonline.informs.org/doi/10.1287/opre.2019.1911,Operations Research,INFORMS,Operations Research,2020,,0,1,0
Empirical Q-Value Iteration,https://pubsonline.informs.org/doi/10.1287/stsy.2019.0062,Stochastic systems,INFORMS,Operations Research,2020,7,0,1,0
Min-Max Optimal Design of Two-Armed Trials with Side Information,https://pubsonline.informs.org/doi/10.1287/ijoc.2021.1068,INFORMS Journal on Computing,INFORMS,Operations Research,2021,,0,1,0
Experimenting in Equilibrium,https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3844,Management Science,INFORMS,Operations Research,2021,,0,1,0
Diffusion Approximations for a Class of Sequential Experimentation Problems,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4195,Management Science,INFORMS,Operations Research,2021,,0,1,0
Bayesian Meta-Prior Learning Using Empirical Bayes,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4136,Management Science,INFORMS,Operations Research,2021,,0,1,0
An Instrumental Variable Forest Approach for Detecting Heterogeneous Treatment Effects in Observational Studies,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4084,Management Science,INFORMS,Operations Research,2021,594,0,1,0
Always Valid Inference: Continuous Monitoring of A/B Tests,https://pubsonline.informs.org/doi/10.1287/opre.2021.2135,Operations Research,INFORMS,Operations Research,2021,317,0,1,0
Identification of Causal Mechanisms from Randomized Experiments: A Framework for Endogenous Mediation Analysis,https://pubsonline.informs.org/doi/10.1287/isre.2022.1113,Information Systems Research (ISR),INFORMS,Information Systems,2022,,0,1,0
A Computational Framework for Solving Nonlinear Binary Optimization Problems in Robust Causal Inference,https://pubsonline.informs.org/doi/10.1287/ijoc.2022.1226,INFORMS Journal on Computing,INFORMS,Operations Research,2022,,0,1,0
Causal Rule Sets for Identifying Subgroups with Enhanced Treatment Effects,https://pubsonline.informs.org/doi/10.1287/ijoc.2021.1143,INFORMS Journal on Computing,INFORMS,Operations Research,2022,,0,1,0
A Robust Approach to Quantifying Uncertainty in Matching Problems of Causal Inference,https://pubsonline.informs.org/doi/10.1287/ijds.2022.0020,INFORMS Journal on Data Science,INFORMS,Information Systems,2022,11,0,1,0
Achieving Reliable Causal Inference with Data-Mined Variables: A Random Forest Approach to the Measurement Error Problem,https://pubsonline.informs.org/doi/10.1287/ijds.2022.0019,INFORMS Journal on Data Science,INFORMS,Information Systems,2022,,0,1,0
Causal Decision Making and Causal Effect Estimation Are Not the Same…and Why It Matters,https://pubsonline.informs.org/doi/10.1287/ijds.2021.0006,INFORMS Journal on Data Science,INFORMS,Information Systems,2022,,0,1,0
Ensemble Experiments to Optimize Interventions Along the Customer Journey: A Reinforcement Learning Approach,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.4914,Management Science,INFORMS,Information Systems,2022,594,0,1,0
Experimental Design in Two-Sided Platforms: An Analysis of Bias,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4247,Management Science,INFORMS,Operations Research,2022,,0,1,0
Design and Analysis of Switchback Experiments,https://pubsonline.informs.org/doi/10.1287/mnsc.2022.4583,Management Science,INFORMS,Operations Research,2022,,0,1,0
Experimental Design in Two-Sided Platforms: An Analysis of Bias,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4247,Management Science,INFORMS,Operations Research,2022,,0,1,0
A Multiarmed Bandit Approach for House Ads Recommendations,https://pubsonline.informs.org/doi/10.1287/mksc.2022.1378,Marketing Science,INFORMS,Marketing,2022,,0,1,0
Close Enough? A Large-Scale Exploration of Non-Experimental Approaches to Advertising Measurement,https://pubsonline.informs.org/doi/10.1287/mksc.2022.1413,Marketing Science,INFORMS,Marketing,2022,,0,1,0
Optimal Price Targeting,https://pubsonline.informs.org/doi/10.1287/mksc.2022.1387,Marketing Science,INFORMS,Marketing,2022,,0,1,0
"Debiasing In-Sample Policy Performance for Small-Data, Large-Scale Optimization",https://pubsonline.informs.org/doi/10.1287/opre.2022.2377,Operations Research,INFORMS,Operations Research,2022,,0,1,0
Offline Multi-Action Policy Learning: Generalization and Optimization,https://pubsonline.informs.org/doi/10.1287/opre.2022.2271,Operations Research,INFORMS,Operations Research,2022,,0,1,0
D-Optimal Data Fusion: Exact and Approximation Algorithms,https://pubsonline.informs.org/doi/10.1287/ijoc.2022.0235,INFORMS Journal on Computing,INFORMS,Operations Research,2023,,0,1,0
Correlated Cluster-Based Randomized Experiments: Robust Variance Minimization,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.02741,Management Science,INFORMS,Operations Research,2023,,0,1,0
Targeting for Long-Term Outcomes,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.4881,Management Science,INFORMS,Marketing,2023,,0,1,0
Optimal Experimental Design for Staggered Rollouts,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.4928,Management Science,INFORMS,Operations Research,2023,,0,1,0
Policy Learning with Adaptively Collected Data,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.4921,Management Science,INFORMS,Operations Research,2023,,0,1,0
Treatment Effect Risk: Bounds and Inference,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.4819,Management Science,INFORMS,Operations Research,2023,,0,1,0
Weak Signal Asymptotics for Sequentially Randomized Experiments,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.4964,Management Science,INFORMS,Operations Research,2023,,0,1,0
A Bias Correction Approach for Interference in Ranking Experiments,https://pubsonline.informs.org/doi/10.1287/mksc.2022.0046,Marketing Science,INFORMS,Marketing,2023,163,0,1,0
Combining Observational and Experimental Data to Improve Efficiency Using Imperfect Instruments,https://pubsonline.informs.org/doi/10.1287/mksc.2020.0435,Marketing Science,INFORMS,Marketing,2023,,0,1,0
The Design and Targeting of Compliance Promotions,https://pubsonline.informs.org/doi/10.1287/mksc.2022.1420,Marketing Science,INFORMS,Marketing,2023,,0,1,0
A General Framework for Bandit Problems Beyond Cumulative Objectives,https://pubsonline.informs.org/doi/10.1287/moor.2022.1335,Mathematics of Operations Research,INFORMS,Operations Research,2023,74,0,1,0
An Investigation of p-Hacking in E-Commerce A/B Testing,https://pubsonline.informs.org/doi/10.1287/isre.2024.0872,Information Systems Research (ISR),INFORMS,Information Systems,2025,,0,0,1
Calibration of Heterogeneous Treatment Effects in Randomized Experiments,https://pubsonline.informs.org/doi/10.1287/isre.2021.0343,Information Systems Research (ISR),INFORMS,Information Systems,2024,,0,1,0
Experimental Design for Causal Inference Through an Optimization Lens,https://pubsonline.informs.org/doi/10.1287/educ.2024.0277,INFORMS TutORials in Operations Research,INFORMS,Operations Research,2024,35,0,1,0
Reducing Interference Bias in Online Marketplace Experiments Using Cluster Randomization: Evidence from a Pricing Meta-experiment on Airbnb,https://pubsonline.informs.org/doi/10.1287/mnsc.2020.01157,Management Science,INFORMS,Information Systems,2024,,0,1,0
Reducing Marketplace Interference Bias via Shadow Prices,https://pubsonline.informs.org/doi/10.1287/mnsc.2022.01881,Management Science,INFORMS,Operations Research,2024,,0,1,0
"Discovering Causal Models with Optimization: Confounders, Cycles, and Instrument Validity",https://pubsonline.informs.org/doi/10.1287/mnsc.2021.02066,Management Science,INFORMS,Operations Research,2024,,0,1,0
Multi-armed Bandit Experimental Design: Online Decision-Making and Adaptive Inference,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.00492,Management Science,INFORMS,Operations Research,2024,,0,1,0
"Nonstationary A/B Tests: Optimal Variance Reduction, Bias Correction, and Valid Inference",https://pubsonline.informs.org/doi/10.1287/mnsc.2022.01205,Management Science,INFORMS,Operations Research,2024,,0,1,0
Pigeonhole Design: Balancing Sequential Experiments from an Online Matching Perspective,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.02184,Management Science,INFORMS,Operations Research,2024,,0,1,0
Treatment Allocation with Strategic Agents,https://pubsonline.informs.org/doi/10.1287/mnsc.2022.01629,Management Science,INFORMS,Operations Research,2024,,0,1,0
Doing More with Less: Overcoming Ineffective Long-Term Targeting Using Short-Term Signals,https://pubsonline.informs.org/doi/10.1287/mksc.2022.0379,Marketing Science,INFORMS,Marketing,2024,,0,1,0
Latent Stratification for Incrementality Experiments,https://pubsonline.informs.org/doi/10.1287/mksc.2022.0297,Marketing Science,INFORMS,Marketing,2024,,0,1,0
Multiobjective Personalization of Marketing Interventions,https://pubsonline.informs.org/doi/10.1287/mksc.2023.0122,Marketing Science,INFORMS,Marketing,2024,,0,1,0
Online Causal Inference for Advertising in Real-Time Bidding Auctions,https://pubsonline.informs.org/doi/10.1287/mksc.2022.0406,Marketing Science,INFORMS,Marketing,2024,,0,1,0
Parallel Experimentation and Competitive Interference on Online Advertising Platforms,https://pubsonline.informs.org/doi/10.1287/mksc.2022.0194,Marketing Science,INFORMS,Marketing,2024,,0,1,0
Randomized Assortment Optimization,https://pubsonline.informs.org/doi/10.1287/opre.2022.0129,Operations Research,INFORMS,Operations Research,2024,,0,1,0
Cautious Exploitation: Learning and Search in Problems of Evaluation and Discovery,https://pubsonline.informs.org/doi/10.1287/orsc.2023.17538,Organization Science,INFORMS,Organizational Behavior,2024,142,0,1,0
Observational vs. Experimental Data When Making Automated Decisions Using Machine Learning,https://pubsonline.informs.org/doi/10.1287/ijds.2023.0012,INFORMS Journal on Data Science,INFORMS,Information Systems,2025,,0,1,0
Observational vs. Experimental Data When Making Automated Decisions Using Machine Learning,https://pubsonline.informs.org/doi/10.1287/ijds.2023.0012,INFORMS Journal on Data Science,INFORMS,Information Systems,2025,,0,1,0
A Sample Size Calculation for Training and Certifying Targeting Policies,https://pubsonline.informs.org/doi/10.1287/mnsc.2022.02947,Management Science,INFORMS,Marketing,2025,904,0,1,0
Getting the Most Out of A/B Tests Using the Asymptotic Minimax-Regret Criteria,https://pubsonline.informs.org/doi/10.1287/mnsc.2024.06590,Management Science,INFORMS,Marketing,2025,,0,0,1
False Discovery in A/B Testing,https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4207,Management Science,INFORMS,Marketing,2021,,0,0,1
Multicell Experiments for Marginal Treatment Effect Estimation of Digital Ads,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.01185,Management Science,INFORMS,Marketing,2025,,0,1,0
"Pricing Experimental Design: Causal Effect, Expected Revenue and Tail Risk",https://pubsonline.informs.org/doi/10.1287/mnsc.2023.03209,Management Science,INFORMS,Operations Research,2025,,0,0,1
Efficient Switchback Experiments with Surrogate Variables: Estimation and Experimental Design,https://pubsonline.informs.org/doi/10.1287/mnsc.2023.03818,Management Science,INFORMS,Operations Research,2025,,0,1,0
LOLA: LLM-Assisted Online Learning Algorithm for Content Experiments,https://pubsonline.informs.org/doi/10.1287/mksc.2024.0990,Marketing Science,INFORMS,Marketing,2025,,0,1,0
Algorithms for Budget-Constrained D-Optimal Design,https://pubsonline.informs.org/doi/10.1287/moor.2024.0467,Mathematics of Operations Research,INFORMS,Operations Research,2025,,0,1,0
A Two-Part Machine Learning Approach to Characterizing Network Interference in A/B Testing,https://pubsonline.informs.org/doi/10.1287/msom.2023.0462,MSOM,INFORMS,Operations Research,2025,81,0,1,0
Asynchronous Online Testing of Multiple Hypotheses,https://jmlr.org/papers/volume22/19-910/19-910.pdf,Journal of Machine Learning Research,Journal of Machine Learning Research,Computer Science,2021,,0,1,0
An Online Sequential Test for Qualitative Treatment Effects,https://www.jmlr.org/papers/volume25/22-0192/22-0192.pdf,Journal of Machine Learning Research,Journal of Machine Learning Research,Computer Science,2024,695,0,1,0
Cluster-Adaptive Network A/B Testing: From Randomization to Estimation,https://www.jmlr.org/papers/v25/22-0192.html,Journal of Machine Learning Research,Journal of Machine Learning Research,Computer Science,2024,,0,1,0
Experimental Cost of Information,https://www.jstor.org/stable/27180704?searchText=%28%28experiment%29%20OR%20%28regret%29%20OR%20%28A%2FB%20test%29%20OR%20%28bandit%29%20OR%20%28causal%29%20OR%20%28evaluation%29%20OR%20%28online%20controlled%29%20OR%20%28treatment%29%20OR%20%28decision%29%29%20NOT%20%28%20%28evidence%20from%29%20OR%20%28systematic%29%20OR%20%28meta%20analysis%29%29&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3D%2528%2528experiment%2529%2BOR%2B%2528regret%2529%2BOR%2B%2528A%252FB%2Btest%2529%2BOR%2B%2528bandit%2529%2BOR%2B%2528causal%2529%2BOR%2B%2528evaluation%2529%2BOR%2B%2528online%2Bcontrolled%2529%2BOR%2B%2528treatment%2529%2BOR%2B%2528decision%2529%2529%2BNOT%2B%2528%2B%2528evidence%2Bfrom%2529%2BOR%2B%2528systematic%2529%2BOR%2B%2528meta%2Banalysis%2529%2529%26so%3Drel%26sd%3D2020%26ed%3D2025%26efqs%3DeyJkaXNjIjpbImMzUmhkR2x6ZEdsamN5MWthWE5qYVhCc2FXNWwiLCJiV0Z5YTJGa2RtVnlkQzFrYVhOamFYQnNhVzVsIiwiYldGdWIzSm5ZbVZvWVMxa2FYTmphWEJzYVc1bCIsIlpXTnZibTl0YVdOekxXUnBjMk5wY0d4cGJtVT0iLCJZblZ6YVc1bGMzTXRaR2x6WTJsd2JHbHVaUT09Il0sImN0eSI6WyJhbTkxY201aGJBPT0iXX0%253D%26pagemark%3DeyJwYWdlIjo0LCJzdGFydCI6NzUsInRvdGFsIjozODY1fQ%253D%253D%26groupefq%3DWyJjb250cmlidXRlZF92aWRlbyIsInNlYXJjaF9jaGFwdGVyIiwibXBfcmVzZWFyY2hfcmVwb3J0X3BhcnQiLCJjb250cmlidXRlZF9hdWRpbyIsInJldmlldyIsInNlYXJjaF9hcnRpY2xlIiwicmVzZWFyY2hfcmVwb3J0IiwiY29udHJpYnV0ZWRfdGV4dCJd&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Abb157a6b13abf642785f0ca782ef7a72,AER,JSTOR,Economics,2022,3865,0,0,1
Online field experiments: a selective survey of methods,https://www.cambridge.org/core/journals/journal-of-the-economic-science-association/article/abs/online-field-experiments-a-selective-survey-of-methods/9BEE66E8927D50361B83D0CB4A72B43F,Journal of the Economic Science Association,JSTOR,Economics,2025,,0,1,0
ROI constrained optimal online allocation in sponsored search,https://www.nature.com/articles/s41598-024-77506-3,Nature,Nature,General Science,2024,29,0,1,0
Trustworthy Online Controlled Experiments,https://www.cambridge.org/core/books/trustworthy-online-controlled-experiments/D97B26382EB0EB2DC2019A7A7B518F59,Book,Oxford Academic,Industry,2020,2012,1,1,0
Stratification Trees for Adaptive Randomization in Randomized Controlled Trials,https://www.restud.com/stratification-trees-for-adaptive-randomization-in-randomized-controlled-trials/,Review of Economic Studies,Oxford University Press,Economics,2022,,0,1,0
Experimentation in Endogenous Organizations,https://www.restud.com/experimentation-in-endogenous-organizations/,Review of Economic Studies,Oxford University Press,Economics,2023,52,0,0,1
Policy Targeting under Network Interference,https://www.restud.com/policy-targeting-under-network-interference/,Review of Economic Studies,Oxford University Press,Economics,2024,,0,1,0
How to sample and when to stop sampling: The generalized Wald problem and minimax policies,https://www.restud.com/how-to-sample-and-when-to-stop-sampling-the-generalized-wald-problem-and-minimax-policies/,Review of Economic Studies,Oxford University Press,Economics,2025,,0,1,0
The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely,https://www.restud.com/the-surrogate-index-combining-short-term-proxies-to-estimate-long-term-treatment-effects-more-rapidly-and-precisely/,Review of Economic Studies,Oxford University Press,Economics,2025,,0,1,0
Improving massive experiments with threshold blocking,https://www.pnas.org/doi/10.1073/pnas.1510504113,PNAS,PNAS,General Science,2016,,0,1,0
Lasso adjustments of treatment effect estimates in randomized experiments,https://www.pnas.org/doi/10.1073/pnas.1510506113,PNAS,PNAS,General Science,2016,,0,1,0
Confidence intervals for policy evaluation in adaptive experiments,https://www.pnas.org/doi/10.1073/pnas.2014602118,PNAS,PNAS,General Science,2021,85,0,1,0
On the number of trials needed to distinguish similar alternatives,https://www.pnas.org/doi/10.1073/pnas.2202116119,PNAS,PNAS,General Science,2022,,0,1,0
On the measure of the information in a statistical experiment,https://projecteuclid.org/journals/bayesian-analysis/volume-2/issue-1/On-the-measure-of-the-information-in-a-statistical-experiment/10.1214/07-BA207.full,Bayesian Analysis,Project Euclid,Statistics,2007,384,0,0,1
